Métrica,Estratégia,IBOV
Rentabilidade Total,18.78%,71.72%
Retorno Anualizado,1.17%,3.73%
Volatilidade Anualizada,13.84%,23.50%
Índice de Sharpe,0.08,0.16
Drawdown Máximo,-30.38%,-48.63%
